league_name,team_long_name_home,team_short_name_home,team_long_name_away,team_short_name_away,home_players_average_rating,home_team_score,home_team_prob_receive_red_cards,home_team_prob_case_win,away_players_average_rating,away_team_score,away_team_prob_receive_red_cards,away_team_prob_case_win,home_avg_bet,draw_avg_bet,away_avg_bet,match_result
Belgium Jupiler League,RSC Anderlecht,AND,KV Mechelen,MEC,72.27,53.38,0.0,71.42857142857143,66.64,48.38,0.0,25.806451612903224,0.6955842410762232,0.2360570096413272,0.1455228411529973,1
Belgium Jupiler League,RSC Anderlecht,AND,Standard de Liège,STL,70.73,54.75,0.0,71.42857142857143,69.18,55.0,0.0,30.76923076923077,0.5950273066774194,0.2461873931307133,0.2361742084377666,1
Belgium Jupiler League,RSC Anderlecht,AND,Beerschot AC,BAC,72.0,48.75,0.0,71.42857142857143,65.82,49.12,0.0,10.526315789473683,0.7697401197265258,0.2414862435923143,0.0651775898354544,1
Belgium Jupiler League,RSC Anderlecht,AND,KRC Genk,GEN,72.64,53.38,0.0,71.42857142857143,67.45,51.75,0.0,27.41935483870968,0.6796685387055041,0.2365903375953958,0.1599492577981109,1
Belgium Jupiler League,RSC Anderlecht,AND,SV Zulte-Waregem,ZUL,70.45,53.38,0.0,71.42857142857143,65.5,46.88,0.0,32.142857142857146,0.6580685406438103,0.2353851756633965,0.187622412402795,1
Belgium Jupiler League,RSC Anderlecht,AND,Sporting Lokeren,LOK,72.55,53.38,0.0,71.42857142857143,67.64,52.12,0.0,36.66666666666666,0.6361572746430343,0.233175410178901,0.2079044549083897,1
Belgium Jupiler League,RSC Anderlecht,AND,KV Kortrijk,KOR,72.73,53.38,0.0,71.42857142857143,66.73,45.75,0.0,25.42372881355932,0.7040420289282779,0.2350701785507759,0.1373780383505304,1
Belgium Jupiler League,RSC Anderlecht,AND,Sint-Truidense VV,STT,70.91,59.0,0.0,71.42857142857143,63.27,49.62,0.0,12.0,0.7943443774747625,0.2365522356891603,0.0491965999453723,1
Belgium Jupiler League,RSC Anderlecht,AND,KAA Gent,GEN,71.91,53.38,0.0,71.42857142857143,68.64,48.0,0.0,37.28813559322034,0.6014047497345355,0.2378833407843578,0.2379214495065251,1
Belgium Jupiler League,RSC Anderlecht,AND,KSV Cercle Brugge,CEB,70.91,54.75,0.0,71.42857142857143,64.09,52.0,0.0,16.363636363636363,0.7599332938506724,0.2369997057560491,0.0829617092817764,1
Belgium Jupiler League,RSC Anderlecht,AND,Club Brugge KV,CLB,72.45,53.38,0.0,71.42857142857143,69.82,48.88,0.0,38.23529411764706,0.5839994740456121,0.2393041311170458,0.2523474192497383,1
Belgium Jupiler League,RSC Anderlecht,AND,KVC Westerlo,WES,71.55,53.38,0.0,71.42857142857143,66.45,49.0,0.0,22.22222222222222,0.7005197227055947,0.2393837929977889,0.1378666252932879,1
Belgium Jupiler League,RSC Anderlecht,AND,Sporting Charleroi,CHA,70.64,54.75,0.0,71.42857142857143,64.36,49.75,0.0,27.58620689655172,0.7032966318689304,0.2334745844612014,0.1445306598723453,1
Belgium Jupiler League,RSC Anderlecht,AND,KAS Eupen,EUP,71.55,53.38,0.0,71.42857142857143,71.55,53.38,0.0,25.0,0.5865854596031423,0.2534040577886798,0.233685081713007,1
Belgium Jupiler League,RSC Anderlecht,AND,Lierse SK,LIE,70.0,53.38,0.0,71.42857142857143,64.25,56.0,0.0,11.904761904761903,0.7578349519605525,0.2423720896390294,0.0801150822586236,1
Belgium Jupiler League,RSC Anderlecht,AND,Oud-Heverlee Leuven,O-H,71.55,53.38,0.0,71.42857142857143,71.55,53.38,0.0,18.75,0.6122622958369808,0.2562869440294909,0.2043913901401015,1
Belgium Jupiler League,RSC Anderlecht,AND,RAEC Mons,MON,72.27,48.75,0.0,71.42857142857143,65.09,48.38,0.0,33.333333333333336,0.6958203487325633,0.2279346763033845,0.155636851920399,1
Belgium Jupiler League,RSC Anderlecht,AND,Waasland-Beveren,WAA,71.91,53.38,0.0,71.42857142857143,64.73,40.12,0.0,13.636363636363637,0.777173635276427,0.2370618131894122,0.0635865530265596,1
Belgium Jupiler League,RSC Anderlecht,AND,KV Oostende,OOS,73.36,53.38,0.0,71.42857142857143,68.0,47.38,0.0,32.0,0.6634026175775698,0.2338840549483523,0.1781203030322755,1
Belgium Jupiler League,RSC Anderlecht,AND,Royal Excel Mouscron,MOP,71.82,53.38,0.0,71.42857142857143,66.09,48.75,0.0,27.27272727272728,0.69211102689525,0.2351327388714537,0.151108268342937,1
Belgium Jupiler League,RSC Anderlecht,AND,KSV Roeselare,ROS,71.55,53.38,0.0,71.42857142857143,71.55,53.38,0.0,50.0,0.4838781146677888,0.2418725128254352,0.3508598480046289,1
Belgium Jupiler League,KV Mechelen,MEC,RSC Anderlecht,AND,66.09,48.38,0.0,43.10344827586207,71.27,54.75,0.0,56.45161290322581,0.2579519181779586,0.2838789214415385,0.5370743357186514,-1
Belgium Jupiler League,KV Mechelen,MEC,Standard de Liège,STL,66.73,48.38,0.0,43.10344827586207,69.82,55.0,0.0,30.76923076923077,0.4047081258347772,0.2893804961851285,0.382291277729506,1
Belgium Jupiler League,KV Mechelen,MEC,Beerschot AC,BAC,66.91,52.0,0.0,43.10344827586207,66.09,49.12,0.0,10.526315789473683,0.5662562513464037,0.2869657544809867,0.2237990550630773,1
Belgium Jupiler League,KV Mechelen,MEC,KRC Genk,GEN,64.64,48.38,0.0,43.10344827586207,70.09,51.75,0.0,27.41935483870968,0.3735387129424603,0.2982483415142157,0.4064682259858617,1
Belgium Jupiler League,KV Mechelen,MEC,SV Zulte-Waregem,ZUL,67.0,48.38,0.0,43.10344827586207,64.36,46.88,0.0,32.142857142857146,0.5139274637739105,0.2715238981656815,0.2955003868504464,1
Belgium Jupiler League,KV Mechelen,MEC,Sporting Lokeren,LOK,66.82,48.38,0.0,43.10344827586207,68.27,52.12,0.0,36.66666666666666,0.41333960632359,0.2817293173436396,0.3832396281785338,-1
Belgium Jupiler League,KV Mechelen,MEC,KV Kortrijk,KOR,64.64,48.38,0.0,43.10344827586207,65.82,45.75,0.0,25.42372881355932,0.4675746592457506,0.2863575518577348,0.3277908450664559,1
Belgium Jupiler League,KV Mechelen,MEC,Sint-Truidense VV,STT,65.27,53.38,0.0,43.10344827586207,64.45,49.62,0.0,12.0,0.5621715094791625,0.2864758631336513,0.2319326182503581,1
Belgium Jupiler League,KV Mechelen,MEC,KAA Gent,GEN,66.45,48.38,0.0,43.10344827586207,68.91,48.0,0.0,37.28813559322034,0.3909273441775455,0.2845157988658409,0.4028265958684147,-1
Belgium Jupiler League,KV Mechelen,MEC,KSV Cercle Brugge,CEB,66.09,48.38,0.0,43.10344827586207,64.64,52.0,0.0,16.363636363636363,0.5559241402000745,0.2824779617656492,0.241543615107701,1
Belgium Jupiler League,KV Mechelen,MEC,Club Brugge KV,CLB,67.09,48.38,0.0,43.10344827586207,70.73,48.88,0.0,38.23529411764706,0.362546665638629,0.2875451760533038,0.4259447409197341,-1
Belgium Jupiler League,KV Mechelen,MEC,KVC Westerlo,WES,66.45,48.38,0.0,43.10344827586207,64.18,49.0,0.0,22.22222222222222,0.547906983562871,0.2772736938735501,0.2554207518241096,1
Belgium Jupiler League,KV Mechelen,MEC,Sporting Charleroi,CHA,67.09,48.38,0.0,43.10344827586207,66.73,49.38,0.0,27.58620689655172,0.4867059198229914,0.2804559794014619,0.3110921467497182,1
Belgium Jupiler League,KV Mechelen,MEC,KAS Eupen,EUP,65.64,53.38,0.0,43.10344827586207,64.0,52.5,0.0,25.0,0.5248033157503009,0.2779763760101371,0.2792740181221869,1
Belgium Jupiler League,KV Mechelen,MEC,Lierse SK,LIE,65.82,52.0,0.0,43.10344827586207,62.27,56.88,0.0,11.904761904761903,0.6167818470484308,0.2782652908990048,0.1867531011526088,1
Belgium Jupiler League,KV Mechelen,MEC,Oud-Heverlee Leuven,O-H,66.36,48.62,0.0,43.10344827586207,65.45,49.5,0.0,18.75,0.5349406900391808,0.2829661293290609,0.2612935256649795,1
Belgium Jupiler League,KV Mechelen,MEC,RAEC Mons,MON,66.55,52.0,0.0,43.10344827586207,65.55,48.38,0.0,33.333333333333336,0.4766091061276601,0.2759473711476961,0.328042228039269,1
